FORPRINT: Tue Feb  4 19:18:07 2014
       19335.378       579703.12
       19345.196       905626.82
       19355.014       463717.93
       19364.832       333595.07
       19374.650       265937.41
       19384.468       222580.38
       19394.286       191757.98
       19404.104       168362.13
       19413.922       149511.07
       19423.740       133983.05
       19433.558       120893.90
       19443.376       109344.70
       19453.194       99202.563
       19463.012       90247.628
       19472.830       81952.013
       19482.648       74375.356
       19492.466       67491.199
       19502.284       60909.886
       19512.102       54773.116
       19521.920       49106.559
       19531.738       43535.527
       19541.556       38247.172
       19551.374       33336.076
       19561.192       28442.625
       19571.010       23713.015
       19580.828       19278.852
       19590.646       14818.315
       19600.464       10484.136
       19610.282       6406.9935
       19620.100       2243.1644
       19629.918      -1841.5609
       19639.736      -5671.1504
       19649.554      -9585.6648
       19659.372      -13475.690
       19669.190      -17142.896
       19679.008      -20893.562
       19688.826      -24619.670
       19698.644      -28129.851
       19708.462      -31754.429
       19718.280      -35378.595
       19728.098      -38770.655
       19737.916      -42254.137
       19747.734      -45773.901
       19757.552      -49082.548
       19767.370      -52466.980
       19777.188      -55875.145
       19787.006      -59068.683
       19796.824      -62357.017
       19806.642      -65683.886
       19816.460      -68773.624
       19826.278      -71923.761
       19836.096      -75138.183
       19845.914      -78130.957
       19855.732      -81158.860
       19865.550      -84228.341
       19875.368      -87063.577
       19885.186      -89941.036
       19895.004      -92863.310
       19904.822      -95519.024
       19914.640      -98166.105
       19924.458      -100864.59
       19934.276      -103295.98
       19944.094      -105670.44
       19953.912      -108045.13
       19963.730      -110107.76
       19973.548      -112078.76
       19983.366      -114002.01
       19993.184      -115519.52
       20003.002      -116810.41
       20012.820      -117949.16
       20022.638      -118541.11
       20032.456      -118663.10
       20042.274      -118308.63
       20052.092      -116974.44
       20061.910      -114560.22
       20071.728      -110735.90
       20081.546      -104406.48
       20091.364      -94374.016
       20101.182      -78091.408
       20111.000      -48816.289
       20120.818       13122.392
       20130.636       219500.43
       20140.454       1381134.1
       20150.272       389929.69
       20160.090       217880.27
       20169.908       136852.23
       20179.726       87309.948
       20189.544       52682.241
       20199.362       26777.560
       20209.180       6377.2049
       20218.998      -10488.589
       20228.816      -24570.326
       20238.634      -36615.698
       20248.452      -47304.471
       20258.270      -56639.776
       20268.088      -64899.578
       20277.906      -72532.462
       20287.724      -79376.470
       20297.542      -85530.738
       20307.360      -91344.978
       20317.178      -96612.939
       20326.996      -101402.26
       20336.814      -106020.83
       20346.632      -110217.68
       20356.450      -114007.53
       20366.268      -117725.68
       20376.086      -121134.47
       20385.904      -124187.24
       20395.722      -127198.19
       20405.540      -129945.53
       20415.358      -132395.02
       20425.176      -134848.96
       20434.994      -137067.80
       20444.812      -138982.41
       20454.630      -140931.83
       20464.448      -142706.47
       20474.266      -144185.99
       20484.084      -145691.14
       20493.902      -147035.17
       20503.720      -148116.62
       20513.538      -149246.09
       20523.356      -150224.59
       20533.174      -150918.77
       20542.992      -151672.74
       20552.810      -152324.01
       20562.628      -152691.52
       20572.446      -153097.76
       20582.264      -153404.67
       20592.082      -153453.16
       20601.900      -153553.99
       20611.718      -153559.06
       20621.536      -153278.85
       20631.354      -153052.20
       20641.172      -152771.52
       20650.990      -152202.26
       20660.808      -151656.71
       20670.626      -151051.20
       20680.444      -150175.27
       20690.262      -149326.41
       20700.080      -148410.80
       20709.898      -147187.74
       20719.716      -145975.24
       20729.534      -144720.59
       20739.352      -143138.30
       20749.170      -141511.17
       20758.988      -139804.21
       20768.806      -137752.19
       20778.624      -135611.91
       20788.442      -133326.22
       20798.260      -130585.29
       20808.078      -127638.02
       20817.896      -124438.59
       20827.714      -120590.37
       20837.532      -116235.21
       20847.350      -111241.07
       20857.168      -105074.12
       20866.986      -97584.427
       20876.804      -88158.497
       20886.622      -75364.589
       20896.440      -57279.422
       20906.258      -29138.301
       20916.076       22903.566
       20925.894       157842.22
       20935.712       3450199.4
       20945.530       541847.00
       20955.348       305224.24
       20965.166       210992.81
       20974.984       158268.82
       20984.802       123919.97
       20994.620       99422.841
       21004.438       81248.403
       21014.256       67162.785
       21024.074       55794.901
       21033.892       46684.179
       21043.710       39169.102
       21053.528       32748.123
       21063.346       27486.639
       21073.164       23039.246
       21082.982       19065.924
       21092.800       15797.573
       21102.618       13033.201
       21112.436       10491.319
       21122.254       8413.3376
       21132.072       6655.9785
       21141.890       4982.3617
       21151.708       3670.8311
       21161.526       2596.2435
       21171.344       1488.8736
       21181.162       656.16195
       21190.980       28.179994
       21200.798      -666.76113
       21210.616      -1160.9953
       21220.434      -1502.7463
       21230.252      -1942.2521
       21240.070      -2198.1340
       21249.888      -2313.4057
       21259.706      -2581.6239
