FORPRINT: Mon Feb  3 16:23:31 2014
       16605.569       50.177949
       16605.579       50.158427
       16605.589       50.137572
       16605.599       50.115397
       16605.609       50.091894
       16605.619       50.067052
       16605.629       50.040890
       16605.639       50.013386
       16605.649       49.984560
       16605.659       49.954390
       16605.669       49.922897
       16605.679       49.890056
       16605.689       49.855893
       16605.699       49.820393
       16605.709       49.783541
       16605.719       49.745366
       16605.729       49.705836
       16605.739       49.664982
       16605.749       49.622772
       16605.759       49.579237
       16605.769       49.534343
       16605.779       49.488124
       16605.789       49.440563
       16605.799       49.391640
       16605.809       49.341392
       16605.819       49.289779
       16605.829       49.236842
       16605.839       49.182539
       16605.849       49.126911
       16605.859       49.069937
       16605.869       49.011595
       16605.879       48.951928
       16605.889       48.890892
       16605.899       48.828531
       16605.909       48.764799
       16605.919       48.699743
       16605.929       48.633315
       16605.939       48.565563
       16605.949       48.496464
       16605.959       48.425990
       16605.969       48.354195
       16605.979       48.281024
       16605.989       48.206533
       16605.999       48.130664
       16606.009       48.053476
       16606.019       47.974911
       16606.029       47.895028
       16606.039       47.813797
       16606.049       47.731187
       16606.059       47.647262
       16606.069       47.561957
       16606.079       47.475338
       16606.089       47.387339
       16606.099       47.298028
       16606.109       47.207371
       16606.119       47.115335
       16606.129       47.021988
       16606.139       46.927261
       16606.149       46.831226
       16606.159       46.733811
       16606.169       46.635091
       16606.179       46.534990
       16606.189       46.433586
       16606.199       46.330822
       16606.209       46.226718
       16606.219       46.121274
       16606.229       46.014491
       16606.239       45.906391
       16606.249       45.796934
       16606.259       45.686140
       16606.269       45.574011
       16606.279       45.460547
       16606.289       45.345750
       16606.299       45.229621
       16606.309       45.112183
       16606.319       44.993369
       16606.329       44.873272
       16606.339       44.751824
       16606.349       44.629049
       16606.359       44.504948
       16606.369       44.379523
       16606.379       44.252774
       16606.389       44.124704
       16606.399       43.995338
       16606.409       43.864629
       16606.419       43.732602
       16606.429       43.599258
       16606.439       43.464600
       16606.449       43.328628
       16606.459       43.191345
       16606.469       43.052751
       16606.479       42.912850
       16606.489       42.771668
       16606.499       42.629154
       16606.509       42.485337
       16606.519       42.340219
       16606.529       42.193800
       16606.539       42.046084
       16606.549       41.897071
       16606.559       41.746793
       16606.569       41.595165
       16606.579       41.442305
       16606.589       41.288127
       16606.599       41.132664
       16606.609       40.975916
       16606.619       40.817886
       16606.629       40.658576
       16606.639       40.497988
       16606.649       40.336156
       16606.659       40.173021
       16606.669       40.008614
       16606.679       39.842939
       16606.689       39.675997
       16606.699       39.507792
       16606.709       39.338325
       16606.719       39.167600
       16606.729       38.995618
       16606.739       38.822416
       16606.749       38.647930
       16606.759       38.472195
       16606.769       38.295214
       16606.779       38.116990
       16606.789       37.937526
       16606.799       37.756824
       16606.809       37.574922
       16606.819       37.391718
       16606.829       37.207356
       16606.839       37.021732
       16606.849       36.834885
       16606.859       36.646817
       16606.869       36.457533
       16606.879       36.267034
       16606.889       36.075324
       16606.899       35.882443
       16606.909       35.688321
       16606.919       35.492998
       16606.929       35.296476
       16606.939       35.098759
       16606.949       34.899850
       16606.959       34.699753
       16606.969       34.498472
       16606.979       34.296009
       16606.989       34.092406
       16606.999       33.887591
       16607.009       33.681605
       16607.019       33.474451
       16607.029       33.266133
       16607.039       33.056656
       16607.049       32.846022
       16607.059       32.634275
       16607.069       32.421299
       16607.079       32.207259
       16607.089       31.992037
       16607.099       31.775678
       16607.109       31.558185
       16607.119       31.339563
       16607.129       31.119815
       16607.139       30.898945
       16607.149       30.677000
       16607.159       30.453900
       16607.169       30.229690
       16607.179       30.004375
       16607.189       29.777959
       16607.199       29.550447
       16607.209       29.321841
       16607.219       29.092148
       16607.229       28.861370
       16607.239       28.629558
       16607.249       28.396626
       16607.259       28.162624
       16607.269       27.927555
       16607.279       27.691425
       16607.289       27.454238
       16607.299       27.215998
       16607.309       26.976756
       16607.319       26.736379
       16607.329       26.495055
       16607.339       26.252652
       16607.349       26.009219
       16607.359       25.764763
       16607.369       25.519286
       16607.379       25.272795
       16607.389       25.025295
       16607.399       24.776836
       16607.409       24.527331
       16607.419       24.276831
       16607.429       24.025341
       16607.439       23.772866
       16607.449       23.519412
       16607.459       23.264983
       16607.469       23.009584
       16607.479       22.753221
       16607.489       22.495949
       16607.499       22.237674
       16607.509       21.978450
       16607.519       21.718283
       16607.529       21.457178
       16607.539       21.195141
       16607.549       20.932177
       16607.559       20.668342
       16607.569       20.403491
       16607.579       20.137829
       16607.589       19.871213
       16607.599       19.603697
       16607.609       19.335287
       16607.619       19.065989
       16607.629       18.795809
       16607.639       18.524751
       16607.649       18.252875
       16607.659       17.980082
       16607.669       17.706429
       16607.679       17.431923
       16607.689       17.156569
       16607.699       16.880373
       16607.709       16.603342
       16607.719       16.325480
       16607.729       16.046794
       16607.739       15.767344
       16607.749       15.487028
       16607.759       15.205906
       16607.769       14.923985
       16607.779       14.641270
       16607.789       14.357767
       16607.799       14.073483
       16607.809       13.788478
       16607.819       13.502596
       16607.829       13.216059
       16607.839       12.928712
       16607.849       12.640615
       16607.859       12.351774
       16607.869       12.062195
       16607.879       11.771886
       16607.889       11.480852
       16607.899       11.189156
       16607.909       10.896692
       16607.919       10.603523
       16607.929       10.309656
       16607.939       10.015096
       16607.949       9.7198513
       16607.959       9.4239274
       16607.969       9.1273312
       16607.979       8.8300693
       16607.989       8.5322054
       16607.999       8.2336324
       16608.009       7.9344139
       16608.019       7.6345566
       16608.029       7.3340672
       16608.039       7.0329526
       16608.049       6.7312195
       16608.059       6.4289326
       16608.069       6.1259254
       16608.079       5.8224360
       16608.089       5.5182979
       16608.099       5.2135757
       16608.109       4.9082763
       16608.119       4.6024069
       16608.129       4.2959743
       16608.139       3.9889855
       16608.149       3.6815063
       16608.159       3.3734264
       16608.169       3.0648115
       16608.179       2.7556687
       16608.189       2.4460051
       16608.199       2.1358278
       16608.209       1.8251439
       16608.219       1.5139606
       16608.229       1.2022851
       16608.239      0.89018420
       16608.249      0.57754599
       16608.259      0.26443721
       16608.269    -0.049134887
       16608.279     -0.36316303
       16608.289     -0.67763995
       16608.299     -0.99255833
       16608.309      -1.3078507
       16608.319      -1.6236902
       16608.329      -1.9398287
       16608.339      -2.2564395
       16608.349      -2.5734551
       16608.359      -2.8908680
       16608.369      -3.2086708
       16608.379      -3.5268562
       16608.389      -3.8454166
       16608.399      -4.1642838
       16608.409      -4.4835719
       16608.419      -4.8032128
       16608.429      -5.1231988
       16608.439      -5.4435225
       16608.449      -5.7641765
       16608.459      -6.0851531
       16608.469      -6.4064448
       16608.479      -6.7280441
       16608.489      -7.0498820
       16608.499      -7.3720737
       16608.509      -7.6945503
       16608.519      -8.0173041
       16608.529      -8.3403277
       16608.539      -8.6636133
       16608.549      -8.9871534
       16608.559      -9.3108786
       16608.569      -9.6349665
       16608.579      -9.9591623
       16608.589      -10.283644
       16608.599      -10.608342
       16608.609      -10.933248
       16608.619      -11.258355
       16608.629      -11.583656
       16608.639      -11.909142
       16608.649      -12.234744
       16608.659      -12.560577
       16608.669      -12.886574
       16608.679      -13.212725
       16608.689      -13.539023
       16608.699      -13.865461
       16608.709      -14.192030
       16608.719      -14.518722
       16608.729      -14.845531
       16608.739      -15.172386
       16608.749      -15.499404
       16608.759      -15.826515
       16608.769      -16.153711
       16608.779      -16.480984
       16608.789      -16.808327
       16608.799      -17.135732
       16608.809      -17.463128
       16608.819      -17.790696
       16608.829      -18.118178
       16608.839      -18.445753
       16608.849      -18.773351
       16608.859      -19.100964
       16608.869      -19.428585
       16608.879      -19.756206
       16608.889      -20.083819
       16608.899      -20.411354
       16608.909      -20.738928
       16608.919      -21.066471
       16608.929      -21.393975
       16608.939      -21.721432
       16608.949      -22.048835
       16608.959      -22.376176
       16608.969      -22.703447
       16608.979      -23.030641
       16608.989      -23.357687
       16608.999      -23.684702
       16609.009      -24.011617
       16609.019      -24.338423
       16609.029      -24.665113
       16609.039      -24.991679
       16609.049      -25.318114
       16609.059      -25.644347
       16609.069      -25.970558
       16609.079      -26.296490
       16609.089      -26.622322
       16609.099      -26.947984
       16609.109      -27.273469
       16609.119      -27.598768
       16609.129      -27.923875
       16609.139      -28.248781
       16609.149      -28.573417
       16609.159      -28.897900
       16609.169      -29.222159
       16609.179      -29.546187
       16609.189      -29.869977
       16609.199      -30.193521
       16609.209      -30.516812
       16609.219      -30.839841
       16609.229      -31.162602
       16609.239      -31.485025
       16609.249      -31.807226
       16609.259      -32.129136
       16609.269      -32.450748
       16609.279      -32.772053
       16609.289      -33.093044
       16609.299      -33.413715
       16609.309      -33.733996
       16609.319      -34.054063
       16609.329      -34.373665
       16609.339      -34.692978
       16609.349      -35.011932
       16609.359      -35.330521
       16609.369      -35.648737
       16609.379      -35.966573
       16609.389      -36.284022
       16609.399      -36.601015
       16609.409      -36.917667
       16609.419      -37.233910
       16609.429      -37.549736
       16609.439      -37.865139
       16609.449      -38.180110
       16609.459      -38.494644
       16609.469      -38.808732
       16609.479      -39.122367
       16609.489      -39.435483
       16609.499      -39.748193
       16609.509      -40.060428
       16609.519      -40.372182
       16609.529      -40.683448
       16609.539      -40.994220
